SaleID,PropertyID,SaleDate,SalePrice,LegalReference,SoldAsVacant
17870,46732,2016-04-07,200000.0,20160413-0035212,0.0
17871,42981,2016-01-06,153000.0,20160108-0002233,0.0
17872,11666,2014-01-03,40000.0,20140106-0001317,0.0
17888,18270,2014-07-18,360000.0,20140721-0064630,0.0
17889,649,2013-02-01,290000.0,20130204-0011251,0.0
17890,51903,2016-07-14,392400.0,20160720-0074660,0.0
17891,43994,2016-02-26,140000.0,20160229-0019008,0.0
17892,55920,2016-10-19,282500.0,20161021-0111293,0.0
17893,6920,2013-08-29,152500.0,20130905-0093704,0.0
17894,21209,2014-09-16,172000.0,20140918-0085965,0.0
17895,55921,2016-10-14,200000.0,20161018-0109991,0.0
17896,10699,2013-12-10,174500.0,20131216-0126784,0.0
